Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,ROA - Return On Assets,Operating Cash Flow Per Share,Free Cash Flow Per Share
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1507,0.4551,0.8847,77.623,19.4839,19.4839,13.6093,8.3224,0.3173,8.1724,2.6385,1.9957,-0.1333
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1129,0.0072,0.0073,43.6619,19.8327,19.8327,20.8699,13.569,0.3324,22.0354,4.4944,0.2501,0.3132
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9276,0.2924,0.4255,11.9008,3.3173,3.3173,3.0536,2.1418,2.462,13.6376,5.2731,-7.6079,-7.3231
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8358,0.4708,0.9491,64.5096,18.4549,18.4549,15.1135,9.0246,0.2946,9.6412,2.6583,1.7438,-0.8999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2931,0.2644,0.4036,3.8385,1.3269,1.3269,1.2304,0.6518,4.9276,11.1256,2.9364,1.9725,2.4174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2931,0.2644,0.4036,3.8385,1.3269,1.3269,1.2304,0.6518,4.9276,11.1256,2.9364,1.9725,2.4174
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7607,0.3116,0.4527,12.0808,0.9761,0.9761,0.3921,0.1585,0.7571,0.3662,0.1326,-0.6973,0.9587
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8134,0.3452,0.6231,54.2938,31.8143,31.8143,28.7928,20.4126,0.3121,13.0426,6.3671,1.5316,0.1005
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0668,0.3398,0.89,64.6665,37.2524,37.2524,23.1982,15.9279,0.3886,21.2038,6.5242,1.2684,0.9432
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7627,0.6308,1.8312,58.0879,26.3191,26.3191,22.8936,17.822,0.5027,37.0226,9.1082,1.5979,1.8099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4196,0.5595,1.3798,65.5206,21.26,21.26,17.5307,11.4567,0.2861,14.5245,3.3306,14.9775,5.116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4196,0.5595,1.3798,65.5206,21.26,21.26,17.5307,11.4567,0.2861,14.5245,3.3306,14.9775,5.116
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307,0.2743,0.5031,44.8414,18.4424,18.4424,15.834,9.9892,0.6739,12.6645,6.7318,4.7202,4.1827
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5681,0.1078,0.1397,77.4457,5.7523,5.7523,5.4529,3.4088,1.3948,8.5729,4.7546,1.1699,-0.049
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7141,0.2304,0.3145,35.4648,14.4211,14.7838,13.3965,9.8021,1.0274,23.7731,10.081,2.5506,1.9125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5515,0.0053,0.0383,5.9169,5.1051,5.1051,5.1695,3.1145,3.0634,21.9826,10.2093,5.0039,3.9227
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.543,0.1589,0.1918,8.8891,4.2386,4.2386,3.7696,4.1157,1.3468,8.53,5.5701,4.0444,2.9936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9233,0.4826,1.1377,39.6308,17.8066,17.8066,15.0626,10.4574,0.8279,27.1778,8.6827,0.6462,0.4849
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2909,0.3901,0.7449,7.4884,2.4428,2.4428,1.844,1.2591,2.1058,10.7213,2.6817,-0.7281,-1.1496
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3306,0.1909,0.2532,33.3177,4.9482,4.9482,4.0658,2.4638,0.8308,3.7216,2.1882,-0.6116,0.1514
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.295,0.2072,0.2633,37.8275,10.822,10.822,9.0697,5.6642,1.3053,12.3902,7.3936,1.9397,3.0367
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8907,0.8595,6.1186,15.8129,8.4401,8.4401,3.1572,1.672,1.7449,39.5986,3.3675,5.4618,4.5864
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0262,0.4022,0.8289,13.2321,5.0445,5.0445,0.9484,-0.1404,0.3647,-0.1871,-0.0831,4.0751,-2.8945
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2984,0.3901,0.7712,54.097,15.8602,15.8602,14.8303,9.5532,0.4164,10.1629,3.9783,3.4073,1.1577
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9206,0.1818,0.2222,56.3708,25.847,25.847,25.0929,22.8974,0.3766,14.1521,8.6239,0.3803,0.5272
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1293,0.0966,0.1286,80.1629,38.5667,38.5667,40.0311,30.0237,0.7256,40.628,21.7853,0.5805,0.7057
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7722,0.8416,5.9833,23.5097,23.5097,23.5097,15.6564,9.9165,0.3216,31.2247,3.0104,13.2046,5.0787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7722,0.8416,5.9833,23.5097,23.5097,23.5097,15.6564,9.9165,0.3216,31.2247,3.0104,13.2046,5.0787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5095,0.2694,0.3813,60.9604,38.7541,38.7541,38.3387,16.8332,0.3455,16.7208,9.4578,6.0513,2.4189
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8361,0.4769,1.1191,39.6503,15.6724,15.6724,12.0264,7.4179,0.4221,11.3803,3.1311,9.0433,3.9589
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0265,0.4582,0.9539,45.1846,11.6488,11.6488,5.7503,7.5446,0.3074,3.7913,1.2301,0.9567,-2.1853
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6667,0.3631,0.5701,72.2395,10.7678,10.7678,9.8246,6.0995,1.126,13.4552,6.8681,4.9592,3.972
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5842,0.5897,1.4374,100.0,29.5493,29.5493,19.5588,14.3299,0.3661,22.5964,6.1655,0.4769,0.303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9659,0.246,0.3288,50.0351,39.7707,39.7707,37.6092,24.8878,0.6164,24.0025,15.4266,1.1322,0.6584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9659,0.246,0.3288,50.0351,39.7707,39.7707,37.6092,24.8878,0.6164,24.0025,15.4266,1.1322,0.6584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5491,0.3207,0.5489,47.7195,32.5518,32.5518,34.4019,23.8597,0.2569,6.7165,3.2783,4.4575,3.5759
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9941,0.5642,1.3038,55.6678,13.6469,13.6469,8.4476,6.5341,0.2838,5.7311,2.0002,2.5387,-1.3875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9941,0.5642,1.3038,55.6678,13.6469,13.6469,8.4476,6.5341,0.2838,5.7311,2.0002,2.5387,-1.3875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2311,0.0617,0.0901,7.532,4.1061,4.1061,3.9818,2.6604,1.8265,10.6379,4.8592,-0.5307,-1.2423
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3661,0.3479,0.535,86.5591,10.0057,10.0057,9.1251,4.9829,1.3123,16.9743,7.6744,5.5076,1.6435
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.612,1.0097,-108.8904,27.9613,17.8625,17.8625,3.5605,3.095,1.0897,-529.8164,3.3725,0.05,0.016
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5085,0.4393,0.798,64.1566,14.9724,14.9724,13.1312,8.3021,0.3476,7.5939,2.8669,2.4005,5.026
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7866,0.327,0.7097,57.0634,20.2691,20.2691,23.3832,18.6767,0.5851,24.78,10.9275,4.6782,3.9779
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7866,0.327,0.7097,57.0634,20.2691,20.2691,23.3832,18.6767,0.5851,24.78,10.9275,4.6782,3.9779
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519,0.3911,0.7246,27.0099,14.7131,14.7131,14.7712,11.9439,0.638,16.9721,7.1598,0.6135,1.5522
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1666,0.5429,1.3879,100.0,12.2912,12.2912,10.595,6.5501,0.7639,22.7067,5.0034,1.7357,3.5875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2911,0.4434,0.8932,55.6386,11.5601,11.5601,3.4867,3.2387,0.3793,4.6419,1.4254,2.9773,-2.2315
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.058,1.8638,-2.1577,17.5953,8.94,8.94,5.2037,5.0548,1.0796,-24.4606,5.4145,2.9232,4.0162
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.058,1.8638,-2.1577,17.5953,8.94,8.94,5.2037,5.0548,1.0796,-24.4606,5.4145,2.9232,4.0162
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.058,1.8638,-2.1577,17.5953,8.94,8.94,5.2037,5.0548,1.0796,-24.4606,5.4145,2.9232,4.0162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1372,0.4426,0.9565,79.8565,18.4651,18.4651,13.5391,8.2604,0.3354,8.2351,2.6082,-0.5609,-0.5196
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.085,0.3125,0.4548,2.9894,1.4039,1.4039,1.3065,0.8187,5.3881,21.3182,4.3631,1.2707,1.1387
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.046,0.2534,0.4761,3.1247,1.5115,1.5115,1.4206,0.8979,5.2524,24.3296,4.6553,0.346,0.4003
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,35.3219,30.7381,0.3462,19.3243,10.6402,-0.2088,-0.2907
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,35.3219,30.7381,0.3462,19.3243,10.6402,-0.2088,-0.2907
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,35.3219,30.7381,0.3462,19.3243,10.6402,-0.2088,-0.2907
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,35.3219,30.7381,0.3462,19.3243,10.6402,-0.2088,-0.2907
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5399,0.7754,3.6802,22.0455,10.3399,10.3399,5.8062,7.158,0.8957,40.1033,6.4237,0.9937,0.1772
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5399,0.7754,3.6802,22.0455,10.3399,10.3399,5.8062,7.158,0.8957,40.1033,6.4237,0.9937,0.1772
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0415,0.2545,0.3415,32.5885,19.7056,19.7056,18.6739,13.9671,0.885,21.4458,12.5107,-0.2345,-0.301
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3549,0.1868,0.2335,66.3658,35.8139,35.8139,35.4605,28.9777,0.5672,22.6825,16.3121,-0.319,-0.3534
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6315,0.3514,0.5605,12.9029,4.0053,4.0053,3.6224,2.5588,1.9525,14.7523,4.9958,-5.2071,-5.005
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3469,0.305,0.5313,82.3954,35.1878,35.1878,32.9442,22.9972,0.5973,36.2327,13.7363,4.0479,3.7638
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7505,0.4538,1.0539,28.1939,9.9512,9.9512,6.6306,4.4161,0.6891,8.7154,2.8069,-2.1727,-2.4831
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8524,1.3446,-3.937,50.4134,17.9205,17.9205,15.7621,10.0278,1.3215,-99.9386,13.2513,7.7639,6.2717
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0671,0.0057,0.0057,41.9465,18.4074,18.4074,19.5058,12.755,0.2872,20.7141,3.6363,0.0837,-0.0569
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.4441,1.1921,24.2258,-0.187,-0.187,-17.8666,-14.3978,1.0367,-61.2506,-16.6827,5.4923,4.5241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8374,0.239,0.3739,11.7124,3.5048,3.5048,3.2824,2.5215,2.6787,16.4955,6.7545,2.0005,1.4642
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6862,0.3636,0.6047,74.4855,20.9643,20.9643,13.8145,9.7998,0.4661,13.5765,5.4424,5.562,2.3118
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6862,0.3636,0.6047,74.4855,20.9643,20.9643,13.8145,9.7998,0.4661,13.5765,5.4424,5.562,2.3118
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7738,0.1992,0.2719,22.4088,9.8307,9.8307,8.8941,5.6334,0.6271,5.7329,3.563,-1.8168,-2.0971
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6668,0.6197,1.6961,18.0328,10.021,10.021,7.9476,6.1337,1.1014,33.0861,7.9189,-0.0696,-0.3356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7475,0.2799,0.3922,53.208,-45.4031,-45.4031,-44.6165,-52.532,0.3022,-27.7073,-16.2123,-2.5714,-5.1639
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0768,0.7531,3.051,8.4376,-11.4447,-11.4447,-14.9246,-3.4353,0.5209,-7.4465,-1.5539,-6.2994,-6.2974
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4051,0.4633,0.8632,28.9519,7.5573,7.5573,4.5009,7.0273,0.9098,9.5966,3.6119,-0.9236,-0.6908
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9632,0.3218,0.6259,56.6384,14.7375,14.7375,11.4307,9.6253,0.6292,12.1346,6.1035,-3.6566,-4.3562
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4192,0.1637,0.2209,91.5135,26.4796,26.4796,26.0771,21.3143,0.5828,16.4893,11.1038,2.6613,2.5546
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4795,0.3129,0.511,19.3409,8.9212,8.9212,8.4542,6.6763,1.0176,17.153,7.1323,0.5787,0.2468
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7332,0.1658,1.1917,10.5508,-12.9268,-12.9268,-16.8232,-15.2618,0.4697,-21.7924,-7.1682,-3.8669,-2.0854
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9696,0.2541,0.3482,72.9162,31.1589,31.1589,31.1589,15.8592,0.627,28.8592,14.5225,0.5454,0.3874
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1756,0.6664,1.9973,31.1455,17.3399,17.3399,5.7358,3.7577,0.1952,2.9534,0.7334,0.8167,-0.3823
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1253,0.4806,0.9959,65.5792,28.8736,28.8736,23.9376,14.6954,0.378,17.9655,5.5542,0.3693,0.2569
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5995,0.1867,0.2668,21.1103,6.4075,6.4075,5.8479,3.5781,1.5406,9.0769,5.5044,0.6878,0.9978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5995,0.1867,0.2668,21.1103,6.4075,6.4075,5.8479,3.5781,1.5406,9.0769,5.5044,0.6878,0.9978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1757,0.5239,1.1602,64.3555,18.4366,18.4366,13.5126,8.179,0.2721,8.6461,2.2254,0.0697,-0.2621
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1757,0.5239,1.1602,64.3555,18.4366,18.4366,13.5126,8.179,0.2721,8.6461,2.2254,0.0697,-0.2621
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2684,0.4778,0.9272,9.0722,3.2633,3.2633,0.7896,0.7471,2.1548,4.3932,1.6427,0.6791,0.3975
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2684,0.4778,0.9272,9.0722,3.2633,3.2633,0.7896,0.7471,2.1548,4.3932,1.6427,0.6791,0.3975
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2684,0.4778,0.9272,9.0722,3.2633,3.2633,0.7896,0.7471,2.1548,4.3932,1.6427,0.6791,0.3975
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.3127,0.1644,0.215,42.795,24.3989,24.3989,33.1256,47.4915,0.3153,13.0338,8.5988,1.5588,0.68
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6882,0.2883,0.405,63.4828,31.0362,31.0362,20.095,11.8489,0.3357,12.2173,6.0086,0.8872,-1.4713
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6882,0.2883,0.405,63.4828,31.0362,31.0362,20.095,11.8489,0.3357,12.2173,6.0086,0.8872,-1.4713
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6882,0.2883,0.405,63.4828,31.0362,31.0362,20.095,11.8489,0.3357,12.2173,6.0086,0.8872,-1.4713
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2203,0.2711,0.4278,4.0548,1.475,1.475,1.4789,0.9343,4.4929,16.5156,4.2283,-1.9596,-2.0551
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7607,0.3116,0.4527,12.0808,0.9761,0.9761,0.3921,0.1585,0.7571,0.3662,0.1326,-0.6973,0.9587
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9277,0.3445,0.6544,14.8648,5.7549,5.7549,5.2415,4.1908,0.841,9.2397,3.5996,-1.1584,-1.9415
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446,0.6529,2.6158,28.6959,9.3054,11.4516,8.8053,6.3398,0.6652,25.3866,4.308,-2.6804,-2.4329
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1167,0.2551,0.3424,25.868,13.6791,13.6791,8.6649,7.3983,0.6075,8.4025,3.8113,-1.3063,1.2156
